id,a3,a2,metodo,lambda, qtd raizes reais,isolamento raiz 1,raiz 1,f(raiz1),num interacoes 1,isolamento raiz 2,raiz 2,f(raiz2),num interacoes 2,isolamento raiz 3,raiz 3,f(raiz3),num interacoes 3
1,5,7,original,,3,-3.6 ~ -3.5,-3.57322,-2.79395e-06,3,0 ~ 0.1,0.0476276,4.1546e-06,2,3.5 ~ 3.6,3.52559,3.33315e-06,3
2,5,7,derivada num.,,3,-3.6 ~ -3.5,-3.57322,-2.79507e-06,3,0 ~ 0.1,0.0476276,4.16646e-06,2,3.5 ~ 3.6,3.52559,3.33443e-06,3
3,5,7,FL,0.1,3,-3.6 ~ -3.5,-3.57322,-2.79395e-06,3,0 ~ 0.1,0.0476276,4.1546e-06,2,3.5 ~ 3.6,3.52559,3.33315e-06,3
4,5,7,FL,0.05,3,-3.6 ~ -3.5,-3.57322,-2.79395e-06,3,0 ~ 0.1,0.0476276,4.1546e-06,2,3.5 ~ 3.6,3.52559,3.33315e-06,3
5,1,0,original,,1,-1.5 ~ -1.4,-1.44229,-0.000258062,2,,,,,,,,
6,1,0,derivada num.,,1,-1.5 ~ -1.4,-1.44229,-0.000258069,2,,,,,,,,
7,1,0,FL,0.1,1,-1.5 ~ -1.4,-1.44229,-0.000258062,2,,,,,,,,
8,1,0,FL,0.05,1,-1.5 ~ -1.4,-1.44229,-0.000258062,2,,,,,,,,
9,1,-500,original,,1,-0.1 ~ 0,-0.000666721,-0.000245,2,,,,,,,,
10,1,-500,derivada num.,,1,-0.1 ~ 0,-0.000666721,-0.000245049,2,,,,,,,,
11,1,-500,FL,0.1,1,-0.1 ~ 0,-0.000666721,-0.000245,2,,,,,,,,
12,1,-500,FL,0.05,1,-0.1 ~ 0,-0.000666721,-0.000245,2,,,,,,,,
